"RealeaseYear","Movie","WorldwideGross","genres"
2007,"The Lion King",986214868,"Adventure"
2007,"Pirates of the Caribbean: At World’s End",960996492,"Action"
2007,"Harry Potter and the Order of the Phoenix",940043931,"Action"
2007,"Finding Nemo",936094852,"Adventure"
2007,"Shrek 2",935253978,"Adventure"
2008,"Titanic",2207986545,"Drama"
2008,"The Lord of the Rings: The Return of the King",1120214046,"Action"
2008,"Pirates of the Caribbean: Dead Man’s Chest",1066179725,"Action"
2008,"Jurassic Park",1045573035,"Action"
2008,"Star Wars Ep. I: The Phantom Menace",1027044677,"Action"
2008,"The Dark Knight",998615789,"Action"
2008,"The Lion King",986214868,"Adventure"
2008,"Pirates of the Caribbean: At World’s End",960996492,"Action"
2008,"Harry Potter and the Order of the Phoenix",940043931,"Action"
2008,"Finding Nemo",936094852,"Adventure"
2009,"Avatar",2845899541,"Action"
2009,"Titanic",2207986545,"Drama"
2009,"The Lord of the Rings: The Return of the King",1120214046,"Action"
2009,"Pirates of the Caribbean: Dead Man’s Chest",1066179725,"Action"
2009,"Jurassic Park",1045573035,"Action"
2009,"Star Wars Ep. I: The Phantom Menace",1027044677,"Action"
2009,"The Dark Knight",998615789,"Action"
2009,"The Lion King",986214868,"Adventure"
2009,"Pirates of the Caribbean: At World’s End",960996492,"Action"
2009,"Harry Potter and the Order of the Phoenix",940043931,"Action"
2010,"Avatar",2845899541,"Action"
2010,"Titanic",2207986545,"Drama"
2010,"The Lord of the Rings: The Return of the King",1120214046,"Action"
2010,"Toy Story 3",1068879522,"Adventure"
2010,"Pirates of the Caribbean: Dead Man’s Chest",1066179725,"Action"
2010,"Jurassic Park",1045573035,"Action"
2010,"Star Wars Ep. I: The Phantom Menace",1027044677,"Action"
2010,"Alice in Wonderland",1025491110,"Adventure"
2010,"The Dark Knight",998615789,"Action"
2010,"The Lion King",986214868,"Adventure"
2011,"Avatar",2845899541,"Action"
2011,"Titanic",2207986545,"Drama"
2011,"Transformers: Dark of the Moon",1123794079,"Action"
2011,"The Lord of the Rings: The Return of the King",1120214046,"Action"
2011,"Toy Story 3",1068879522,"Adventure"
2011,"Pirates of the Caribbean: Dead Man’s Chest",1066179725,"Action"
2011,"Pirates of the Caribbean: On Stranger Tides",1045713802,"Action"
2011,"Jurassic Park",1045573035,"Action"
2011,"Star Wars Ep. I: The Phantom Menace",1027044677,"Action"
2011,"Alice in Wonderland",1025491110,"Adventure"
2012,"Avatar",2845899541,"Action"
2012,"Titanic",2207986545,"Drama"
2012,"The Avengers",1515100211,"Action"
2012,"Transformers: Dark of the Moon",1123794079,"Action"
2012,"The Lord of the Rings: The Return of the King",1120214046,"Action"
2012,"Skyfall",1110526981,"Action"
2012,"The Dark Knight Rises",1082228107,"Action"
2012,"Toy Story 3",1068879522,"Adventure"
2012,"Pirates of the Caribbean: Dead Man’s Chest",1066179725,"Action"
2012,"Pirates of the Caribbean: On Stranger Tides",1045713802,"Action"
2013,"Avatar",2845899541,"Action"
2013,"Titanic",2207986545,"Drama"
2013,"The Avengers",1515100211,"Action"
2013,"Frozen",1265767173,"Adventure"
2013,"Iron Man 3",1215392272,"Action"
2013,"Transformers: Dark of the Moon",1123794079,"Action"
2013,"The Lord of the Rings: The Return of the King",1120214046,"Action"
2013,"Skyfall",1110526981,"Action"
2013,"The Dark Knight Rises",1082228107,"Action"
2013,"Toy Story 3",1068879522,"Adventure"
2014,"Avatar",2845899541,"Action"
2014,"Titanic",2207986545,"Drama"
2014,"The Avengers",1515100211,"Action"
2014,"Frozen",1265767173,"Adventure"
2014,"Iron Man 3",1215392272,"Action"
2014,"Transformers: Dark of the Moon",1123794079,"Action"
2014,"The Lord of the Rings: The Return of the King",1120214046,"Action"
2014,"Skyfall",1110526981,"Action"
2014,"Transformers: Age of Extinction",1104054072,"Action"
2014,"The Dark Knight Rises",1082228107,"Action"
2015,"Avatar",2845899541,"Action"
2015,"Titanic",2207986545,"Drama"
2015,"Star Wars Ep. VII: The Force Awakens",2064615817,"Others"
2015,"Jurassic World",1669979967,"Action"
2015,"Furious 7",1516881526,"Action"
2015,"The Avengers",1515100211,"Action"
2015,"Avengers: Age of Ultron",1395316979,"Action"
2015,"Frozen",1265767173,"Adventure"
2015,"Iron Man 3",1215392272,"Action"
2015,"Minions",1159631140,"Adventure"
2016,"Avatar",2845899541,"Action"
2016,"Titanic",2207986545,"Drama"
2016,"Star Wars Ep. VII: The Force Awakens",2064615817,"Others"
2016,"Jurassic World",1669979967,"Action"
2016,"Furious 7",1516881526,"Action"
2016,"The Avengers",1515100211,"Action"
2016,"Avengers: Age of Ultron",1395316979,"Action"
2016,"Frozen",1265767173,"Adventure"
2016,"Iron Man 3",1215392272,"Action"
2016,"Minions",1159631140,"Adventure"
2017,"Avatar",2845899541,"Action"
2017,"Titanic",2207986545,"Drama"
2017,"Star Wars Ep. VII: The Force Awakens",2064615817,"Others"
2017,"Jurassic World",1669979967,"Action"
2017,"Furious 7",1516881526,"Action"
2017,"The Avengers",1515100211,"Action"
2017,"Avengers: Age of Ultron",1395316979,"Action"
2017,"Frozen",1265767173,"Adventure"
2017,"Beauty and the Beast",1253802559,"Adventure"
2017,"The Fate of the Furious",1236703796,"Action"
2018,"Avatar",2845899541,"Action"
2018,"Titanic",2207986545,"Drama"
2018,"Star Wars Ep. VII: The Force Awakens",2064615817,"Others"
2018,"Avengers: Infinity War",2044540523,"Action"
2018,"Jurassic World",1669979967,"Action"
2018,"Furious 7",1516881526,"Action"
2018,"The Avengers",1515100211,"Action"
2018,"Avengers: Age of Ultron",1395316979,"Action"
2018,"Black Panther",1336494321,"Action"
2018,"Jurassic World: Fallen Kingdom",1308334005,"Action"
2019,"Avatar",2845899541,"Action"
2019,"Avengers: Endgame",2797800564,"Action"
2019,"Titanic",2207986545,"Drama"
2019,"Star Wars Ep. VII: The Force Awakens",2064615817,"Others"
2019,"Avengers: Infinity War",2044540523,"Action"
2019,"Jurassic World",1669979967,"Action"
2019,"The Lion King",1654367425,"Adventure"
2019,"Furious 7",1516881526,"Action"
2019,"The Avengers",1515100211,"Action"
2019,"Frozen II",1445182280,"Adventure"
2020,"Avatar",2845899541,"Action"
2020,"Avengers: Endgame",2797800564,"Action"
2020,"Titanic",2207986545,"Drama"
2020,"Star Wars Ep. VII: The Force Awakens",2064615817,"Others"
2020,"Avengers: Infinity War",2044540523,"Action"
2020,"Jurassic World",1669979967,"Action"
2020,"The Lion King",1654367425,"Adventure"
2020,"Furious 7",1516881526,"Action"
2020,"The Avengers",1515100211,"Action"
2020,"Frozen II",1445182280,"Adventure"
2021,"Avatar",2845899541,"Action"
2021,"Avengers: Endgame",2797800564,"Action"
2021,"Titanic",2207986545,"Drama"
2021,"Star Wars Ep. VII: The Force Awakens",2064615817,"Others"
2021,"Avengers: Infinity War",2044540523,"Action"
2021,"Jurassic World",1669979967,"Action"
2021,"The Lion King",1654367425,"Adventure"
2021,"Furious 7",1516881526,"Action"
2021,"The Avengers",1515100211,"Action"
2021,"Frozen II",1445182280,"Adventure"
